quantity,order_no,product_name,customer_id
10682,11283,WZ23213,1521
12421,11651,1L0657J,988
17757,11659,697OE3,1443
19871,11724,063-BNW,177
15548,14857,ORB406,755
13567,15168,608-XNTW,1465
18610,17451,NCW-421,1691
10999,19207,VUP-008,744
16272,21273,646SZF,660
16131,22474,S483CK,1847
14860,22685,3XS174,187
13623,23136,5RM685,1584
15069,23303,IW8022,1571
16823,23335,7AG5353,1001
15563,24809,886EZ0,143
17841,26256,03S132,1462
10770,26553,0IAC54,309
15364,26726,8-2853R,402
17145,27199,20D414,918
14266,27206,PMW-517,432
10377,27547,4-17623,1058
11452,28455,DNM-3101,1111
19071,29416,838LH,1237
14911,31574,TS79310,1613
14227,31834,MNI9876,214
16665,32376,E415UD,1125
14010,32682,9-55070J,1235
14591,35070,1-97482L,827
15572,35081,GXX1019,1336
14979,35945,N722XE,138
15917,36730,316TDR,1265
13908,36753,CHY-6066,1225
14785,37064,0REX086,1191
16800,37546,Z317SO,566
17344,37843,6943RW,1946
17480,41098,JO-4752,406
12270,41127,MRK373,1904
19658,41200,C515EI,627
16225,41210,7YWU71,1667
14738,41295,360-XKH,1140
13714,42839,DDC4715,1029
18367,44565,V691XL,1307
13928,45055,543-828,564
12845,46894,488-UKX,662
12018,50528,76BMH1,1735
14399,52258,89-YI80,1118
17051,55294,KNU-471,1881
13103,56780,LVO409,291
18582,57434,CVM607,1696
17737,57560,2LL740,1622
12548,58014,GNTW51,1076
15504,59007,5B5L8ADL,1016
12589,60216,L603NM,1843
19497,60764,PJQ-984,1034
13740,61459,1833EY,635
14367,64722,AG2813,1456
10146,64991,142DKL,382
16557,65782,ZWP-220,480
12863,65943,W706HP,1850
11211,66992,613062,245
14705,67134,8Y630,479
18323,70259,4MXD099,789
13357,74889,90NVF9,926
12860,75690,P95-TPV,257
12767,76261,UYM-046,1484
11583,77333,KDG583,664
16489,77608,062-OOU,306
17863,77662,5919ED,912
10044,79309,3965991,312
13168,79728,379XIB,1372
17846,79739,190ABF,1375
17423,80139,AJ-3186,1200
16140,80332,KLH339,1125
19145,81199,WCO7633,143
20009,81782,FGP-4568,429
19957,83013,1514829,1464
12990,83260,VA30532,235
10342,84731,YEV-539,596
15971,86027,323XE,561
11850,86727,6XDV622,451
15514,86755,JMD-339,543
12202,87726,OBQB49,388
11247,91439,80FE687,1992
10240,92302,JFL-632,1558
12159,92669,898ATW,374
12160,95854,9LU3738,301
15586,95942,CM06666,521
12452,96701,365X8,713
19153,96776,HXE830,1196
10542,101120,36Q•220,287
11461,101862,KNF-7858,608
11852,103365,10HVQ4,212
15643,103738,729QVR,476
13504,103876,LEA866,1266
17780,104235,HSR164,1996
14577,105758,QIZ-045,1800
10980,106805,8-0752S,1013
19162,106990,0753SE,641
12965,107863,I895QA,1855
10971,108488,9831TY,348
18597,109247,329-HUJ,1383
17193,10763,2W25760,1712
13771,11544,0042RJ,1948
18016,11680,2XM80,838
15788,14920,807-FPF,1479
19467,15366,PEN-015,1925
12125,15564,41-9057Q,128
13128,16612,LIP200,807
16904,17189,5MY9205,1329
18985,18495,UI05690,567
17814,18822,7AUJ767,1611
11446,18922,GB10298,1614
13677,19152,4VM3982,1334
19616,19470,030-115,1344
10405,19576,KJX9663,146
14984,20158,KAA612,716
17351,22794,412ZP9,1244
14967,23558,5EG382,879
10791,23584,446-KBG,884
12302,24102,6283GY,304
19105,24215,BSR-8841,1236
10918,25268,YFD0627,1492
16904,27082,9TR11,1459
13670,27092,22-1246P,1290
12793,29071,4457,429
11852,32913,111TCX,1871
18122,34254,404B,1751
11743,34464,959WD1,921
13327,35680,IFN-806,614
16172,37296,HPF2625,1057
16666,38243,41D3081,761
17177,40507,06BKU0,417
14646,41418,2AG408,1749
15206,43887,5AU646,1492
13575,45214,4IFG88,1415
11367,45565,4QW5283,1163
14886,46300,056ZAQ,1040
15146,47219,882-JIP,374
13042,47237,67YX634,993
18152,47515,107JQE,1690
14650,47784,8-4420M,1170
15750,47885,UA-3353,1752
14778,48220,5-H2987,1529
12382,48743,KUI-990,1910
19061,49347,HFG677,1814
12843,51947,OHC400,1018
11658,53551,63-2886C,1275
10342,56454,5GQ3959,527
15422,58629,9EAT018,1934
19143,58924,MOG517,351
11109,59708,ULO8723,1964
14360,60027,0-0802P,150
17847,60379,GTS171,1809
